TimePeriod;LinkedAccount;Service;Amount;Unit;Estimated
2023-05-10 ; 856529633790;AWS CloudTrail ; 0 ; USD ; True
2023-05-10 ; 856529633790;AWS Data Transfer ; -0.00000097 ; USD ; True
2023-05-10 ; 856529633790;AWS Glue ; 0 ; USD ; True
2023-05-10 ; 856529633790;AWS Key Management Service ; 0 ; USD ; True
2023-05-10 ; 856529633790;AWS Lambda ; 0 ; USD ; True
2023-05-10 ; 856529633790;Amazon DynamoDB ; 0 ; USD ; True
2023-05-10 ; 856529633790;EC2 - Other ; 0.0000005629 ; USD ; True
2023-05-10 ; 856529633790;Amazon Elastic Compute Cloud - Compute ; 0 ; USD ; True
2023-05-10 ; 856529633790;Amazon Simple Notification Service ; 0 ; USD ; True
2023-05-10 ; 856529633790;Amazon Simple Queue Service ; 0 ; USD ; True
2023-05-10 ; 856529633790;Amazon Simple Storage Service ; 0.0000004008 ; USD ; True
2023-05-10 ; 856529633790;AmazonCloudWatch ; -0.0000019488 ; USD ; True
2023-05-10 ; 856529633790;CloudWatch Events ; 0 ; USD ; True
